,date,tweet_text
134,2020-03-25 07:00:19,@ndtv He is doing lots of good job to combat corona. But sir this is absolute violation of safety measures. No… https://t.co/prXM2HZs8J
135,2020-03-25 07:00:45,"@ShrikantPatol15 Hi this is Nitin Khandelwal from CII (Corona India Initiative), started by IIT/IIM//Anesthetist/Cr… https://t.co/9PtDHtGYIq"
136,2020-03-25 07:00:58,"""Guy name is virus""

His girl :- corona virus, corona virus"
137,2020-03-25 07:01:25,#21daylockdown @PMOIndia @narendramodi @mlkhattar @Dchautala @myogiadityanath @AmitShah @drharshvardhan - Instruct… https://t.co/DmIi2HjJWQ
138,2020-03-25 07:01:27,@narendramodi 👉 CORONA VIRUS INFECTING 👇
139,2020-03-25 07:01:29,@realDonaldTrump @Swamy39 what are the chances corona virus has been spread by china to cripple down Europe and USA… https://t.co/fhyV4Mkfbw
140,2020-03-25 07:02:00,"#IndiafightCorona
Now the whole world fighting against Corona virus. it's a very critical situation for all of us.… https://t.co/wpK6lscO2F"
141,2020-03-25 07:02:20,"Really sad, very Dangerous । https://t.co/XhK7p2NV7i"
142,2020-03-25 07:04:01,Happy Chaitra Navratri.. Be Safe and fight Corona ( evil) together (by Social Distancing of coarse)... 🌼🌼… https://t.co/5V8L7y0RQr
143,2020-03-25 07:04:13,"😎😎😎😎😎

     #lockdown #narendramodi #jantacurfew #corona #covid_19 #21daylockdown #entertainment @ Lucknow, Uttar P… https://t.co/JhcV1fwgIp"
144,2020-03-25 07:04:27,"In saket block mandawali east delhi 
All ration shopkeepers selling 
All basic needs products like, wheat, flour, s… https://t.co/hLGDuvNqSb"
145,2020-03-25 07:05:01,Why corona only picks this kinds of morons ? https://t.co/qivFooArzF
146,2020-03-25 07:05:44,OUR PM  @narendramodi JI ANNOUNCED  21 DAY LOCKDOWN FOR THE SAFETY OF EVERY  INDIAN CITIZEN  PLEASE  JOIN  HAND TOG… https://t.co/LDE9W82yhS
147,2020-03-25 07:05:48,"@ChhotiGoldFlake Read an article from London based doctors' observation stating ""anosmia"" loss of sense of smell wa… https://t.co/ZUZAwCxRYp"
148,2020-03-25 07:06:36,"@CNNnews18 SAMBIT PATRA is a doctor.
 Why he is not going to  hospital for national cause as country is in danger d… https://t.co/33bN5sITe0"
149,2020-03-25 07:06:54,"INFOCLAB appeals to all the honorable citizens of India to #StayHome #StaySafe

Countdown to beat #Corona Begins. L… https://t.co/apu3tkbUyF"
150,2020-03-25 07:08:16,China has killed mankind throughout the world. World should respond to China by completely banning Chinese Goods. https://t.co/ck5depb98Y
151,2020-03-25 07:08:23,I wanna share something wat ma broken heart is 💔 feeling from past month (after corona break out).I have seen empty… https://t.co/kFr1bAaetJ
152,2020-03-25 07:08:37,"@smitaprakash Better sense prevail on केजरीवाल.
I see some positive changes in him.
Corona का डर Accha है
But his s… https://t.co/nkRQL67GbQ"
153,2020-03-25 07:09:04,Foolish will never understand that China and india are respectively communist and democracy. I assure you no-one wi… https://t.co/bB8zEIoU3e
154,2020-03-25 07:09:43,"What was wrong said by @RahulGandhi and @INCIndia 
had already warned the government that the crisis of Corona viru… https://t.co/pUPc6YxRLM"
155,2020-03-25 07:09:58,"https://t.co/jEugqpZiGT SAMBIT PATRA is a doctor.
 Why he is not going to  hospital for national cause as country i… https://t.co/vhdHo2uojC"
156,2020-03-25 07:10:20,"@ashokgehlot51  Dear Shri Ashok Gehlot Ji -CM Rajasthan.
Your timely decision for complete Lockdown and welfare Mea… https://t.co/GVwujBT3zm"
157,2020-03-25 07:10:58,"@tmmenon @PrashantKishor After having engineered many electoral ""victories"" he has now become a consultant on Corona management!!"
158,2020-03-25 07:10:59,"@DunlaingRob @NorbertElekes Do you know corona testing capabilities per weej of USA 
India's capabilities is 70000… https://t.co/UmQYOFMhOg"
159,2020-03-25 07:11:01,"Good Job @rssurjewala . you are Extremely close competitor of your master @RahulGandhi 

It is really tough to iden… https://t.co/fDDa9U0dyt"
160,2020-03-25 07:11:01,Fight against corona virus #covıd19 #corona🍺 #masks #stayhome #lockdown2020 #pm_ordering #coronavirüsü #… https://t.co/RlIbvmouS1
161,2020-03-25 07:11:55,Read about some incidents of Racial Discrimination under the garb of Coronavirus  and it is deplorable. Let’s not d… https://t.co/g9DXdvjr9y
162,2020-03-25 07:12:27,@SethShruti Go and  insert a truck load of CORONA in all your holes.
163,2020-03-25 07:12:34,Chinese Virus from China  has collapsed world economy &amp; several innocent people in the globe are facing hell. https://t.co/vMkYekHerD
164,2020-03-25 07:12:45,@KTRTRS Sir kindly convene a press meet by the Gandhi hospital Doctors as our Hon'ble CM KCR garu sensitising the i… https://t.co/DTCariRdtz
165,2020-03-25 07:12:55,Jitna corona nahi dara raha hain usse zyada to yeah news channels wale Dara rahe hai !! Slogan like corona tune kya… https://t.co/KzdGblqZMz
166,2020-03-25 07:13:03,"Ha ha ha , crisis leads to innovation!! Keep it going. https://t.co/5EpBlomaMv"
167,2020-03-25 07:13:14,"If I and you won't meet then the *vIrUs*  CORONA won't affect us..
So Stay Home and live long. https://t.co/s4BwUAl467"
168,2020-03-25 07:14:39,@TelanganaCMO Sir kindly convene a press meet by the Gandhi hospital Doctors as our Hon'ble CM KCR garu sensitising… https://t.co/9d5kiOEFs5
169,2020-03-25 07:15:09,"@kk_madurai Why do corona spread in Italy, Spain, U.S, Germany, Canada? Idiot MC Lazarus answer."
170,2020-03-25 07:15:44,@HRDMinistry @narendramodi @PMOIndia Can there be an hourly bulletin on Corona spread/death latest figures? Locked… https://t.co/ghlBjfUyI8
171,2020-03-25 07:15:47,"I fully support KCR on this issue after the Emergency Indians never witnessed strict action for violating the law,… https://t.co/NhqCziZriu"
172,2020-03-25 07:15:49,@SurrealZak RC Saying you might get infected with Corona Virus if you don't wash your hands! https://t.co/OHFmSdKeQo
173,2020-03-25 07:16:05,"Finally #India got its Carona Dashboard

No more spreading Rumors. This is the official website for #CORONA updates… https://t.co/tpq9qgFXXi"
174,2020-03-25 07:16:33,@anjanaomkashyap Juth Bolna / Janta Ko Gumrah Mt kro China My Corona Aany Three To four Manth AGO Pr Chokidar Ji De… https://t.co/Bn93FRhbzR
175,2020-03-25 07:17:08,"China will buy companies at cheap prices, soon it will declare vaccines are created and will hold world at bargain.… https://t.co/1mJaG7snGQ"
176,2020-03-25 07:17:43,"New medicine for cure of Corona Virus released
Medicine name: *MVI-21D*
(Available for all)

*MVI-21D*= Moodikittu Veetuliye Iru - 21 Days😜"
177,2020-03-25 07:17:58,@soul_merciful @mynameswatik But just for your knowledge RSS has started 180 corona help centre where as muslim per… https://t.co/EOvvFUldLJ
178,2020-03-25 07:18:00,When @ssrajamouli  is on his way...Even #corona has to move away!!  #RRR Just Stunning 👌👌 @tarak9999… https://t.co/Xo3Aog8hJt
179,2020-03-25 07:18:13,"Sir, can't also,we try South Korea measures in fighting Corona https://t.co/QMpBndXDIq https://t.co/qalg6msZ3W"
180,2020-03-25 07:20:43,"@DSIDHANTI writes about his experience with an overnight switch to #WorkFromHomeLife 

His debut on the… https://t.co/Pczx8BAsgV"
181,2020-03-25 07:20:55,Cabinet meeting - good example of social distancing#corona fighter https://t.co/1YUBnX3jp0
182,2020-03-25 07:22:59,@APGlobale Help me reach PM Modi Ji for saving country from Corona Virus.
183,2020-03-25 07:23:24,@KTRTRS hi sir please help us total telangana people. Actually corona virus effect is the main cause. Am agreeing t… https://t.co/4IYlCBdXxy
184,2020-03-25 07:23:27,@mahanagargas I have a problem that Gas nob has broken &amp; called customer care but it is coming due to corona viruse… https://t.co/G5OSR708tg
185,2020-03-25 07:24:01,"Dear Media, are your journalists aware of the droplets that spread CORONA?? Why are you placing mikes near their mo… https://t.co/tgT4H6YSHK"
